Date,Price,Geo_lat,Geo_lon,Building_type
2018-08-28,4990000,59.8262216,30.207174,1
2018-08-28,3300000,45.0725309,39.0384593,3
2018-08-28,2100000,54.7393328,83.058362,3
2018-08-29,2190000,45.1054739,38.9697956,2
2018-08-29,2490000,45.020991,39.045768,1
2018-08-29,7500000,43.626335,39.698437,2
2018-08-29,10550000,55.4846387,37.3067639,1
2018-08-30,3200000,59.918065,30.505386,2
2018-08-30,6950000,55.8792639,37.3137409,2
2018-08-30,2700000,47.199913,39.654817,3
2018-08-30,4900000,59.9153024,30.4816295,4
2018-08-30,5000000,59.9898689,29.7881002,3
2018-08-30,6380000,59.9489239,30.2421301,3
2018-08-30,8037466,55.7042711,37.9420436,1
2018-08-30,1690000,47.52453,42.193382,1
2018-08-30,6217920,55.7042711,37.9420436,1
2018-08-30,1750000,45.09787,39.005326,2
2018-08-30,4800000,59.8615511,30.3427614,3
2018-08-31,10470000,60.0135965,30.3883656,3
2018-08-31,2950000,55.859248,37.1266372,3
2018-08-31,2149764,59.845437,30.115149,2
2018-08-31,2153836,59.845437,30.115149,2
2018-08-31,1800000,55.3752075,39.0553288,4
2018-08-31,1690000,51.3691544,42.1155192,3
2018-08-31,3490000,56.8977241,60.5733406,3
2018-08-31,2750000,53.3442883,83.6632084,1
2018-08-31,2250000,45.03433,38.905226,4
2018-08-31,3735430,59.8498956,30.3536147,2
2018-08-31,1000000,56.114403,47.4960436,3
2018-09-01,8771000,59.9215495,30.4336026,2
2018-09-01,3150000,55.802925,38.457947,2
2018-09-01,2650000,55.9634074,37.9126379,3
2018-09-01,15800000,55.6807931,37.4845931,2
2018-09-02,7000000,55.552408,37.552157,1
2018-09-03,4700000,43.6230269,39.7488778,2
2018-09-04,2000000,61.7675242,34.3784484,1
2018-09-04,12500000,55.6757857,37.6647249,1
2018-09-04,1749000,45.028744,38.978601,3
2018-09-04,1330000,51.6364936,39.2731042,3
2018-09-04,3200000,57.5797443,39.849094,3
2018-09-05,3200000,43.6286394,39.7213167,1
2018-09-05,2700000,45.1144372,38.9915437,2
2018-09-06,3750000,47.223688,39.714968,1
2018-09-06,2420000,47.249519,39.717744,1
2018-09-08,2800000,44.6727019,37.7873634,2
2018-09-08,2250000,45.092175,38.907535,2
2018-09-08,3000000,45.026979,39.087656,2
2018-09-08,8499999,45.040216,38.975996,2
2018-09-08,3200000,45.042604,38.994833,2
2018-09-08,4700000,44.8898336,37.3128991,2
2018-09-08,2100000,45.0922453,39.0083362,2
2018-09-08,2160000,55.029434,83.02724,1
2018-09-08,8300000,60.058138,30.2912622,3
2018-09-08,9300000,59.9391313,30.3159004,3
2018-09-08,3150000,55.7120531,49.1813351,3
2018-09-08,1375000,56.7944975,53.1860188,3
2018-09-08,4500000,60.0810272,30.3409889,2
2018-09-08,2581500,45.092175,38.907535,2
2018-09-08,10500000,55.5677216,37.4445694,2
2018-09-08,2299000,45.0391977,38.913218,2
2018-09-08,2662000,44.7109441,37.7773073,2
2018-09-08,11000000,44.683589,37.784201,2
2018-09-08,1900000,54.943893,82.96749,1
2018-09-08,1050000,54.943577,82.95886,1
2018-09-08,1879000,54.943577,82.95886,1
2018-09-08,2580000,55.03207,82.901215,3
2018-09-08,1600000,54.9357496,82.8452699,1
2018-09-08,1180000,54.9438939,82.9668414,1
2018-09-08,2300000,44.5509747,38.0959943,2
2018-09-08,980000,54.94361,82.962845,1
2018-09-08,1300000,55.0144633,83.0020738,1
2018-09-08,1750000,55.013916,83.00329,1
2018-09-08,1440600,54.9471407,82.9585961,1
2018-09-08,1050000,54.946224,82.968031,1
2018-09-08,1700000,55.014108,83.0016615,1
2018-09-08,2150000,55.017212,83.00393,1
2018-09-08,1370000,55.0005736,82.98373,3
2018-09-08,1003000,55.0139939,83.0033194,1
2018-09-08,1500000,54.9460168,82.9728021,1
2018-09-08,1600000,54.94443,82.95908,1
2018-09-08,889000,55.0303931,83.0155452,1
2018-09-08,906000,55.0303931,83.0155452,1
2018-09-08,2300000,55.012889,83.000083,1
2018-09-08,1020000,54.942858,82.963881,1
2018-09-08,1287000,55.0303931,83.0155452,1
2018-09-08,1301000,55.0303931,83.0155452,1
2018-09-08,940240,55.0303931,83.0155452,1
2018-09-08,957400,54.94443,82.95908,1
2018-09-08,1450000,54.947786,82.970996,1
2018-09-08,1960000,54.9449409,82.971643,1
2018-09-08,1450000,54.94623,82.97007,1
2018-09-08,2356000,44.5911683,38.0426932,2
2018-09-08,890000,54.94443,82.95908,1
2018-09-08,1070000,44.2533485,38.8509164,2
2018-09-08,1282000,44.2533485,38.8509164,2
2018-09-08,3925740,44.875795,37.3430958,2
2018-09-08,5200000,44.6842704,37.7875115,2
2018-09-08,2099000,44.875795,37.3430958,2
2018-09-08,18974540,55.7909684,37.4753952,2
2018-09-08,4135000,44.5069254,38.1300164,2
2018-09-08,13293000,55.7909684,37.4753952,2
2018-09-08,3800000,44.5909971,38.0598961,2
2018-09-08,5250000,44.589863,38.04933,2
2018-09-08,9500000,44.5548253,38.0750783,2
2018-09-08,5908704,44.6759321,37.7868612,2
2018-09-08,5933900,44.6759321,37.7868612,2
2018-09-08,900000,54.94361,82.962845,4
2018-09-08,5507380,44.6759321,37.7868612,2
2018-09-08,3006900,45.0614045,38.9456725,2
2018-09-08,2500000,44.7235026,37.7686135,4
2018-09-08,3300000,44.5528109,38.0993208,2
2018-09-08,4937000,44.589863,38.04933,2
2018-09-08,2200000,55.7273582,52.399596,1
2018-09-08,8400000,44.5548253,38.0750783,2
2018-09-08,12500000,44.881332,37.32662,2
2018-09-08,25103560,55.7904694,37.4753504,2
2018-09-08,3860000,44.5911683,38.0426932,2
2018-09-08,8500000,44.8792656,37.3251457,2
2018-09-08,1300000,54.946917,82.973008,1
2018-09-08,1750000,55.0144633,83.0020738,1
2018-09-08,1090000,54.9438939,82.9668414,1
2018-09-08,4355040,44.6759321,37.7868612,2
2018-09-08,3200000,44.7235026,37.7686135,2
2018-09-08,1750000,54.943489,82.968319,1
2018-09-08,5900000,44.8898336,37.3128991,2
2018-09-08,1850000,55.017212,83.00393,1
2018-09-08,1398000,55.0303931,83.0155452,1
2018-09-08,1451892,55.0303931,83.0155452,1
2018-09-08,1450000,55.0176723,83.003522,1
2018-09-08,1948700,55.0303931,83.0155452,1
2018-09-08,1250000,54.946917,82.973008,1
2018-09-08,1600000,54.942858,82.963881,1
